Designator,Mid X,Mid Y,Rotation,Layer
C1,151.0,-100.73,90.0,top
C10,171.485,-98.84,90.0,top
C11,169.18,-100.7,0.0,top
C12,172.445,-98.865,90.0,top
C13,137.875,-91.25,0.0,top
C14,141.325,-91.05,0.0,top
C15,166.8,-99.48,90.0,top
C16,166.8,-97.48,90.0,top
C17,147.21,-95.7925,270.0,top
C18,146.27,-95.7925,270.0,top
C19,143.25,-96.0,90.0,top
C2,149.21,-98.805,270.0,top
C3,149.21,-100.705,90.0,top
C4,149.25,-92.77,270.0,top
C5,148.75,-96.02,270.0,top
C6,159.75,-91.0,90.0,top
C7,161.5,-97.0,90.0,top
C8,146.1,-91.3,0.0,top
C9,149.45,-91.05,0.0,top
D1,147.25,-93.5,0.0,top
FB1,144.75,-95.5,270.0,top
J1,158.71,-85.095,180.0,top
J2,129.355,-87.255,180.0,top
J3,129.345,-96.855,180.0,top
J4,170.775,-84.25,90.0,top
J5,173.105,-92.21,90.0,top
J8,133.5,-89.77,270.0,top
J9,164.02,-93.01,90.0,top
Q1,140.49,-95.48,270.0,top
Q2,140.51,-99.39,270.0,top
R2,164.75,-85.5,90.0,top
R3,164.75,-87.5,90.0,top
R5,151.5,-90.51,270.0,top
R6,144.75,-93.0,0.0,top
U1,155.01,-95.785,315.0,top
U2,148.8,-85.75,180.0,top
U3,169.2275,-98.67,0.0,top
U4,139.9,-85.75,180.0,top
U5,165.035,-98.69,180.0,top
Y1,146.81,-99.5,270.0,top
